Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PublicSite,Chrome 67.0.3396.99,,2018-09-19 14:49:09,2018-09-19 14:50:28,1m - 18.216s,PASSED
,,,,,,
Test Cases/Public Site/Home Page/Footer/SearchEngine,Chrome 67.0.3396.99,,2018-09-19 14:49:10,2018-09-19 14:50:27,1m - 17.778s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-09-19 14:49:10,2018-09-19 14:49:14,3.835s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-09-19 14:49:14,2018-09-19 14:49:37,23.624s,PASSED
setText,Chrome 67.0.3396.99,,2018-09-19 14:49:37,2018-09-19 14:49:38,0.257s,PASSED
click,Chrome 67.0.3396.99,,2018-09-19 14:49:38,2018-09-19 14:50:27,48.936s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-09-19 14:50:27,2018-09-19 14:50:27,0.805s,PASSED
